"1","兴芮水世界","休闲娱乐","44.5","159","保定市徐水区郎五庄村大午温泉度假村","保定","http://ticket.lvmama.com/scenic-12214293","http://pic.lvmama.com/uploads/pc/place2/ctrip/photo/2608870/228bd3e7f7ef55dfb75d1f1f704130fa_180_120.jpg"
"2","丛台公园","园林景观","9","9","邯郸市丛台区中华北大街80号","保定","http://ticket.lvmama.com/scenic-12214293","http://pic.lvmama.com/uploads/pc/place2/ctrip/photo/2608870/228bd3e7f7ef55dfb75d1f1f704130fa_180_120.jpg"
"3","木兰溶洞","登山徒步","36","36","河北省保定市满城县西赵庄村大西峪木兰峪风景区","保定","http://ticket.lvmama.com/scenic-12214293","http://pic.lvmama.com/uploads/pc/place2/ctrip/photo/2608870/228bd3e7f7ef55dfb75d1f1f704130fa_180_120.jpg"
"4","翠云山国际旅游度假区","滑雪","188","668","河北省张家口市崇礼东马线翠云山景区","保定","http://ticket.lvmama.com/scenic-12214293","http://pic.lvmama.com/uploads/pc/place2/ctrip/photo/2608870/228bd3e7f7ef55dfb75d1f1f704130fa_180_120.jpg"
"5","白鹿温泉","温泉","108","259","河北省石家庄市平山县温塘镇归咏路与汉塘街街北行10...","保定","http://ticket.lvmama.com/scenic-12214293","http://pic.lvmama.com/uploads/pc/place2/ctrip/photo/2608870/228bd3e7f7ef55dfb75d1f1f704130fa_180_120.jpg"
"6","天子山自然生态旅游区","自然风光","10","10","河北省承德市兴隆县挂兰峪镇二甸子村","保定","http://ticket.lvmama.com/scenic-12214293","http://pic.lvmama.com/uploads/pc/place2/ctrip/photo/2608870/228bd3e7f7ef55dfb75d1f1f704130fa_180_120.jpg"
"7","石家庄海洋公园","主题乐园","7","7","河北省石家庄市桥西区裕华西路66号","保定","http://ticket.lvmama.com/scenic-12214293","http://pic.lvmama.com/uploads/pc/place2/ctrip/photo/2608870/228bd3e7f7ef55dfb75d1f1f704130fa_180_120.jpg"
"8","怪楼奇园","园林景观","18","18","河北省秦皇岛市北戴河区联峰路怪楼奇园大酒店西侧50...","保定","http://ticket.lvmama.com/scenic-12214293","http://pic.lvmama.com/uploads/pc/place2/ctrip/photo/2608870/228bd3e7f7ef55dfb75d1f1f704130fa_180_120.jpg"
"9","邢台北武当山","自然风光","19.9","19.9","河北省邢台市沙河市蝉房乡大欠村","邢台","http://ticket.lvmama.com/scenic-10690726","http://pic.lvmama.com/uploads/pc/place2/2016-03-11/e0add7f2-5bd3-4fdc-9a0d-edbcc708d06d_180_120.jpg"
"10","多乐美地滑雪场","滑雪","69","550","河北省张家口市崇礼县","邢台","http://ticket.lvmama.com/scenic-10690726","http://pic.lvmama.com/uploads/pc/place2/2016-03-11/e0add7f2-5bd3-4fdc-9a0d-edbcc708d06d_180_120.jpg"
"11","保定国际俱乐部","休闲娱乐","112","112","河北省保定市高新区天鹅西路199号","邢台","http://ticket.lvmama.com/scenic-10690726","http://pic.lvmama.com/uploads/pc/place2/2016-03-11/e0add7f2-5bd3-4fdc-9a0d-edbcc708d06d_180_120.jpg"
"12","秦皇岛板厂峪长城景区","自然风光","23.9","68","河北省秦皇岛市抚宁县驻操营镇板厂峪村","邢台","http://ticket.lvmama.com/scenic-10690726","http://pic.lvmama.com/uploads/pc/place2/2016-03-11/e0add7f2-5bd3-4fdc-9a0d-edbcc708d06d_180_120.jpg"
